condition,n,valid_rate,mean_iou_with_gt,median_iou_with_gt,iou_gt_at_0_1,iou_gt_at_0_3,iou_gt_at_0_5,mean_center_shift_to_gt_px,median_center_shift_to_gt_px,mean_iou_with_clean_1,median_iou_with_clean_1,mean_center_shift_from_clean_1_px,median_center_shift_from_clean_1_px,shift_gt_50px_rate,shift_gt_100px_rate,shift_gt_200px_rate,mean_iou_drop_vs_clean_1_gt,shift_exceeds_clean_repeat_rate
black_border_10px,138,1.0,0.03701242999353154,0.0,0.14492753623188406,0.014492753623188406,0.007246376811594203,1030.6735168168798,1137.7607585930236,,,,,,,,,
brightness_plus_8,138,1.0,0.0483165770527991,0.0,0.16666666666666666,0.043478260869565216,0.007246376811594203,1033.4263637026695,1129.1784111210463,,,,,,,,,
clean_1,138,1.0,0.044602838479151016,0.0,0.15217391304347827,0.036231884057971016,0.007246376811594203,1040.0584830935209,1129.1784111210463,,,,,,,,,
clean_2,138,1.0,0.044602838479151016,0.0,0.15217391304347827,0.036231884057971016,0.007246376811594203,1040.0584830935209,1129.1784111210463,,,,,,,,,
contrast_plus_8,138,1.0,0.04842718635867665,0.0,0.16666666666666666,0.050724637681159424,0.007246376811594203,1027.2437036937354,1135.8286336246265,,,,,,,,,
gaussian_blur_sigma_0_8,138,1.0,0.04772058227723465,0.0,0.15942028985507245,0.050724637681159424,0.007246376811594203,1028.1967977805687,1096.7916610855373,,,,,,,,,
gaussian_noise_sigma_20,138,1.0,0.03823164386912067,0.0,0.14492753623188406,0.036231884057971016,0.0,1064.2218002568934,1151.7269216384702,,,,,,,,,
white_border_10px,138,1.0,0.04232494900556335,0.0,0.16666666666666666,0.043478260869565216,0.007246376811594203,1050.623835494428,1152.262979443538,,,,,,,,,
clean_repeat__vs_clean,138,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
gaussian_noise_sigma_20__vs_clean,138,,,,,,,,,0.6256817097912791,0.6799583333333332,185.5219604943969,101.07499999999996,0.5144927536231884,0.5072463768115942,0.35507246376811596,0.006371194610030345,0.5289855072463768
black_border_10px__vs_clean,138,,,,,,,,,0.642167657649505,0.8516673528752037,161.76994341735687,8.808101727851277,0.47101449275362317,0.4420289855072464,0.34057971014492755,0.007590408485619474,1.0
white_border_10px__vs_clean,138,,,,,,,,,0.6041818680576325,0.6489250072709877,184.84650245053953,131.33712346476904,0.5942028985507246,0.5652173913043478,0.34057971014492755,0.0022778894735876647,1.0
brightness_plus_8__vs_clean,138,,,,,,,,,0.7439634939995609,1.0,132.34021925789335,0.0,0.35507246376811596,0.34782608695652173,0.2391304347826087,-0.003713738573648081,0.36231884057971014
contrast_plus_8__vs_clean,138,,,,,,,,,0.7264747817325745,1.0,113.8765147526159,0.0,0.41304347826086957,0.391304347826087,0.2246376811594203,-0.0038243478795256343,0.42028985507246375
gaussian_blur_sigma_0_8__vs_clean,138,,,,,,,,,0.7350998548440335,1.0,133.58313406407544,0.0,0.38405797101449274,0.38405797101449274,0.26811594202898553,-0.0031177437980836353,0.391304347826087
