condition,n,valid_rate,mean_iou_with_gt,median_iou_with_gt,iou_gt_at_0_1,iou_gt_at_0_3,iou_gt_at_0_5,mean_center_shift_to_gt_px,median_center_shift_to_gt_px,mean_iou_with_clean_1,median_iou_with_clean_1,mean_center_shift_from_clean_1_px,median_center_shift_from_clean_1_px,shift_gt_50px_rate,shift_gt_100px_rate,shift_gt_200px_rate,mean_iou_drop_vs_clean_1_gt,shift_exceeds_clean_repeat_rate
black_border_10px,138,1.0,0.2569021777415548,0.23205589738384952,0.5942028985507246,0.43478260869565216,0.18115942028985507,553.8219408159094,416.6272921358859,,,,,,,,,
brightness_plus_8,138,1.0,0.27255298361659797,0.24869685046178203,0.6304347826086957,0.4492753623188406,0.21014492753623187,544.802777016711,399.27417616051326,,,,,,,,,
clean_1,138,1.0,0.2555444158398473,0.2252362584727551,0.6014492753623188,0.4420289855072464,0.18115942028985507,567.4843225448515,417.1396939623129,,,,,,,,,
clean_2,138,1.0,0.2555444158398473,0.2252362584727551,0.6014492753623188,0.4420289855072464,0.18115942028985507,567.4843225448515,417.1396939623129,,,,,,,,,
contrast_plus_8,138,1.0,0.26220419966378017,0.2620567513847383,0.6014492753623188,0.43478260869565216,0.18840579710144928,555.1636721101085,397.02939432703215,,,,,,,,,
gaussian_blur_sigma_0_8,138,1.0,0.26221097486853584,0.2223205522185082,0.6086956521739131,0.43478260869565216,0.1956521739130435,568.9326995313227,429.6700573821425,,,,,,,,,
gaussian_noise_sigma_20,138,1.0,0.17989027340044014,0.10814046314110565,0.5144927536231884,0.30434782608695654,0.07971014492753623,687.4384818817814,647.109635741712,,,,,,,,,
white_border_10px,138,1.0,0.24963267142061857,0.20217862043565987,0.5942028985507246,0.43478260869565216,0.15942028985507245,556.8033128624752,410.74151915995606,,,,,,,,,
clean_repeat__vs_clean,138,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
gaussian_noise_sigma_20__vs_clean,138,,,,,,,,,0.4938530630137459,0.5714682564456189,329.87716416066235,144.37174110899684,0.8188405797101449,0.6086956521739131,0.4420289855072464,0.07565414243940721,0.9927536231884058
black_border_10px__vs_clean,138,,,,,,,,,0.7181337163708154,0.8442367478726898,153.6921809449496,50.743499999999926,0.5144927536231884,0.2753623188405797,0.17391304347826086,-0.001357761901707491,1.0
white_border_10px__vs_clean,138,,,,,,,,,0.7021998857288732,0.8214579888804938,157.00827560362546,53.99704220532773,0.5362318840579711,0.30434782608695654,0.18840579710144928,0.005911744419228791,1.0
brightness_plus_8__vs_clean,138,,,,,,,,,0.8535894056796623,0.9499999999999997,74.74134861758633,13.44495649788492,0.2536231884057971,0.15217391304347827,0.06521739130434782,-0.01700856777675064,0.7463768115942029
contrast_plus_8__vs_clean,138,,,,,,,,,0.8212129570536375,0.9526610644257703,106.60920606698211,18.47265742516843,0.32608695652173914,0.2028985507246377,0.10144927536231885,-0.006659783823932836,0.7391304347826086
gaussian_blur_sigma_0_8__vs_clean,138,,,,,,,,,0.7728377604320016,0.8992824874759535,130.51134466034375,28.69782970501755,0.43478260869565216,0.2753623188405797,0.13768115942028986,-0.006666559028688493,0.8405797101449275
